user_ID,stimuli_ID,stimuli_file,rating_type,rating,timestamp,rel_distance,abs_distance,stimulus,codec,resolution,bitrate,source,source_short
27,32,['..\\4k_viewing_distance\\cpvs_hevc\\water_netflix_8s_3500k_1080_hevc.mkv'],acr,3,2024-09-05 14:47:28 476800,1.6,60,water_netflix_8s_3500k_1080_hevc,hevc,1080p,3500k,water_netflix_8s,Water
27,33,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0005_3500k_1080_hevc.mkv'],acr,5,2024-09-05 14:47:41 096948,1.6,60,AVT-Faces_lighting1__V4-0005_3500k_1080_hevc,hevc,1080p,3500k,AVT-Faces_lighting1__V4-0005,Faces_05
27,34,['..\\4k_viewing_distance\\cpvs_hevc\\cutting_orange_tuil_8s_3500k_2160_hevc.mkv'],acr,5,2024-09-05 14:47:51 790962,1.6,60,cutting_orange_tuil_8s_3500k_2160_hevc,hevc,2160p,3500k,cutting_orange_tuil_8s,Orange
27,35,['..\\4k_viewing_distance\\cpvs_hevc\\DialogMeridian_7000k_2160_hevc.mkv'],acr,4,2024-09-05 14:48:04 755151,1.6,60,DialogMeridian_7000k_2160_hevc,hevc,2160p,7000k,DialogMeridian,Meridian
27,36,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0005_400k_720_hevc.mkv'],acr,4,2024-09-05 14:48:17 651424,1.6,60,AVT-Faces_lighting1__V4-0005_400k_720_hevc,hevc,720p,400k,AVT-Faces_lighting1__V4-0005,Faces_05
27,37,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0005_7000k_1080_hevc.mkv'],acr,5,2024-09-05 14:48:30 722114,1.6,60,AVT-Faces_lighting1__V4-0005_7000k_1080_hevc,hevc,1080p,7000k,AVT-Faces_lighting1__V4-0005,Faces_05
27,38,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0012_3500k_2160_hevc.mkv'],acr,5,2024-09-05 14:48:43 425479,1.6,60,AVT-Faces_lighting1__V4-0012_3500k_2160_hevc,hevc,2160p,3500k,AVT-Faces_lighting1__V4-0012,Faces_12
27,39,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lighting1__V4-0012_7000k_2160_hevc.mkv'],acr,5,2024-09-05 14:48:56 037656,1.6,60,AVT-Faces_lighting1__V4-0012_7000k_2160_hevc,hevc,2160p,7000k,AVT-Faces_lighting1__V4-0012,Faces_12
27,40,['..\\4k_viewing_distance\\cpvs_hevc\\fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_3500k_2160_hevc.mkv'],acr,1,2024-09-05 14:49:07 975545,1.6,60,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_3500k_2160_hevc,hevc,2160p,3500k,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s,Debris
27,41,['..\\4k_viewing_distance\\cpvs_hevc\\cutting_orange_tuil_8s_15000k_2160_hevc.mkv'],acr,5,2024-09-05 14:49:18 743218,1.6,60,cutting_orange_tuil_8s_15000k_2160_hevc,hevc,2160p,15000k,cutting_orange_tuil_8s,Orange
