user_ID,stimuli_ID,stimuli_file,rating_type,rating,timestamp,rel_distance,abs_distance,stimulus,codec,crf,resolution,short_src
11,47,['..\\4k_viewing_distance\\cpvs_hevc\\Chimera-EP09_8s_24000-32000.avi_360p_crf30_hevc.mkv'],acr,1,2024-10-14 15:26:50 290733,3.2,120,Chimera-EP09_8s_24000-32000.avi_360p_crf30_hevc,hevc,30,360p,Chimera
12,0,['..\\4k_viewing_distance\\cpvs_hevc\\ElFuente_8s_224000-231750.avi_1080p_crf38_hevc.mkv'],acr,1,2024-10-14 16:40:15 202967,3.2,120,ElFuente_8s_224000-231750.avi_1080p_crf38_hevc,hevc,38,1080p,ElFuente
12,1,['..\\4k_viewing_distance\\cpvs_hevc\\Reading_Stairs_ds_720p_crf22_hevc.mkv'],acr,4,2024-10-14 16:40:33 581263,3.2,120,Reading_Stairs_ds_720p_crf22_hevc,hevc,22,720p,Reading_Stairs
12,2,['..\\4k_viewing_distance\\cpvs_hevc\\Moment_of_Intensity_8s_1080p_crf38_hevc.mkv'],acr,2,2024-10-14 16:40:45 962104,3.2,120,Moment_of_Intensity_8s_1080p_crf38_hevc,hevc,38,1080p,Moment
12,3,['..\\4k_viewing_distance\\cpvs_hevc\\CSGO_8s_23000-31000.avi_360p_crf38_hevc.mkv'],acr,1,2024-10-14 16:40:58 603972,3.2,120,CSGO_8s_23000-31000.avi_360p_crf38_hevc,hevc,38,360p,CS_GO
12,4,['..\\4k_viewing_distance\\cpvs_hevc\\venice_harmonic_2_cropped_8s_1080p_crf30_hevc.mkv'],acr,5,2024-10-14 16:41:11 587543,3.2,120,venice_harmonic_2_cropped_8s_1080p_crf30_hevc,hevc,30,1080p,Venice
12,5,['..\\4k_viewing_distance\\cpvs_hevc\\american_football_harmonic_8s_2160p_crf30_hevc.mkv'],acr,4,2024-10-14 16:41:23 751879,3.2,120,american_football_harmonic_8s_2160p_crf30_hevc,hevc,30,2160p,Football
12,6,['..\\4k_viewing_distance\\cpvs_hevc\\Knitting_Close_ds_2160p_crf30_hevc.mkv'],acr,5,2024-10-14 16:41:37 637156,3.2,120,Knitting_Close_ds_2160p_crf30_hevc,hevc,30,2160p,Knitting_Close
12,7,['..\\4k_viewing_distance\\cpvs_hevc\\Rocket-2_8s_90000-98000.avi_720p_crf30_hevc.mkv'],acr,3,2024-10-14 16:41:49 262655,3.2,120,Rocket-2_8s_90000-98000.avi_720p_crf30_hevc,hevc,30,720p,Rocket_League
12,8,['..\\4k_viewing_distance\\cpvs_hevc\\ElFuente_8s_224000-231750.avi_720p_crf30_hevc.mkv'],acr,3,2024-10-14 16:42:00 870441,3.2,120,ElFuente_8s_224000-231750.avi_720p_crf30_hevc,hevc,30,720p,ElFuente
12,9,['..\\4k_viewing_distance\\cpvs_hevc\\DialogMeridian_720p_crf38_hevc.mkv'],acr,2,2024-10-14 16:42:13 686533,3.2,120,DialogMeridian_720p_crf38_hevc,hevc,38,720p,Meridian
12,10,['..\\4k_viewing_distance\\cpvs_hevc\\monkeys_harmonic_0_cropped_8s_720p_crf22_hevc.mkv'],acr,4,2024-10-14 16:42:26 926373,3.2,120,monkeys_harmonic_0_cropped_8s_720p_crf22_hevc,hevc,22,720p,Monkeys
12,11,['..\\4k_viewing_distance\\cpvs_hevc\\DialogMeridian_2160p_crf22_hevc.mkv'],acr,5,2024-10-14 16:42:41 772865,3.2,120,DialogMeridian_2160p_crf22_hevc,hevc,22,2160p,Meridian
12,12,['..\\4k_viewing_distance\\cpvs_hevc\\venice_harmonic_2_cropped_8s_720p_crf22_hevc.mkv'],acr,4,2024-10-14 16:43:02 512346,3.2,120,venice_harmonic_2_cropped_8s_720p_crf22_hevc,hevc,22,720p,Venice
12,13,['..\\4k_viewing_distance\\cpvs_hevc\\venice_harmonic_2_cropped_8s_2160p_crf22_hevc.mkv'],acr,5,2024-10-14 16:43:13 670676,3.2,120,venice_harmonic_2_cropped_8s_2160p_crf22_hevc,hevc,22,2160p,Venice
